ID,Day,Acclimation,Heat,Colony
D0_T10_C_1,0,Control,Control,1
D0_T10_H_1,0,Control,Heat,1
D0_T10_C_2,0,Control,Control,2
D0_T10_H_2,0,Control,Heat,2
D0_T10_C_3,0,Control,Control,3
D0_T10_H_3,0,Control,Heat,3
D0_T3_C_1,0,Control,Control,4
D0_T3_H_1,0,Control,Heat,4
D0_T3_C_2,0,Control,Control,5
D0_T3_H_2,0,Control,Heat,5
D0_T3_C_3,0,Control,Control,6
D0_T3_H_3,0,Control,Heat,6
D0_T4_C_1,0,Control,Control,7
D0_T4_H_1,0,Control,Heat,7
D0_T4_C_2,0,Control,Control,8
D0_T4_H_2,0,Control,Heat,8
D0_T4_C_3,0,Control,Control,9
D0_T4_H_3,0,Control,Heat,9
D0_T9_C_1,0,Control,Control,10
D0_T9_H_1,0,Control,Heat,10
D0_T9_C_2,0,Control,Control,11
D0_T9_H_2,0,Control,Heat,11
D0_T9_C_3,0,Control,Control,12
D0_T9_H_3,0,Control,Heat,12
D11_T10_C_1,11,Control,Control,1
D11_T10_H_1,11,Control,Heat,1
D11_T10_C_2,11,Control,Control,2
D11_T10_H_2,11,Control,Heat,2
D11_T10_C_3,11,Control,Control,3
D11_T10_H_3,11,Control,Heat,3
D11_T3_C_1,11,Control,Control,4
D11_T3_H_1,11,Control,Heat,4
D11_T3_C_2,11,Control,Control,5
D11_T3_H_2,11,Control,Heat,5
D11_T3_C_3,11,Control,Control,6
D11_T3_H_3,11,Control,Heat,6
D11_T4_C_1,11,Accl,Control,7
D11_T4_H_1,11,Accl,Heat,7
D11_T4_C_2,11,Accl,Control,8
D11_T4_H_2,11,Accl,Heat,8
D11_T4_C_3,11,Accl,Control,9
D11_T4_H_3,11,Accl,Heat,9
D11_T9_C_1,11,Accl,Control,10
D11_T9_H_1,11,Accl,Heat,10
D11_T9_C_2,11,Accl,Control,11
D11_T9_H_2,11,Accl,Heat,11
D11_T9_C_3,11,Accl,Control,12
D11_T9_H_3,11,Accl,Heat,12